"Company","SamAccountName","Name","Mail","Department","Title","PasswordNeverExpires","Enabled","Created"
,"Administrador","Administrador",,,,"True","True","18/08/2017 10:25:15"
,"Convidado","Convidado",,,,"True","False","18/08/2017 10:25:15"
,"krbtgt","krbtgt",,,,"False","False","18/08/2017 10:29:54"
,"bind","Bind Bind Informatica",,,,"True","True","18/08/2017 10:55:26"
,"rcampos","rcampos",,,,"False","True","18/08/2017 10:57:11"
,"efernandes","efernandes",,,,"False","True","18/08/2017 10:58:10"
,"mamorim","mamorim",,,,"False","True","18/08/2017 10:58:10"
,"ecampos","ecampos",,,,"False","True","18/08/2017 10:58:10"
,"ebrunetto","ebrunetto",,,,"False","True","18/08/2017 10:58:10"
,"vmanuel","vmanuel",,,,"False","True","18/08/2017 10:58:11"
,"alucia","alucia",,,,"False","True","18/08/2017 10:58:11"
,"lcampos","lcampos",,,,"True","True","18/08/2017 10:58:11"
,"esanchez","esanchez",,,,"False","True","18/08/2017 10:58:11"
,"gfarias","gfarias",,,,"False","True","18/08/2017 10:58:11"
,"bmatos","bmatos",,,,"False","True","18/08/2017 10:58:11"
,"tcampos","tcampos",,,,"False","True","18/08/2017 10:58:12"
,"eregina","eregina",,,,"False","True","18/08/2017 10:58:12"
,"fmara","fmara",,,,"False","True","18/08/2017 10:58:12"
,"recepcao","recepcao",,,,"False","True","18/08/2017 10:58:12"
,"eferreira","eferreira",,,,"False","True","18/08/2017 10:58:12"
,"dsilva","dsilva",,,,"False","True","18/08/2017 15:22:00"
,"adminbackup","Adminbackup Backup",,,,"True","True","18/08/2017 17:08:49"
,"contabil","Contabil Campos Millennium",,,,"True","True","21/08/2017 10:15:58"
,"sonic_admin","Sonic_Admin",,,,"False","True","05/09/2017 11:29:20"
,"adminsonic","Admin SonicWall",,,,"True","True","29/09/2017 09:21:00"
,"admin.visaoLog","Admin_VisaoLog",,,,"True","True","05/10/2017 15:43:56"
